,0,1,2,3,4,5,6,7,8,9,10,11,12,13
201802,0.000000000,0.000042588,0.001056924,0.002387110,0.003776177,0.005246925,0.006786715,0.008066246,0.009018119,0.009661508,0.010075781,0.010400898,0.010611379,0.010598027
201803,0.000000000,0.000021374,0.001228582,0.002807322,0.004625497,0.006557605,0.008214473,0.009489748,0.010421559,0.010982298,0.011509083,0.011897179,0.012031100,0.011947559
201804,0.000000000,0.000042157,0.001162239,0.002874492,0.004681610,0.006448763,0.007964599,0.009145868,0.009843900,0.010477277,0.011052614,0.011349899,0.011397671,0.011374692
201805,0.000000000,0.000029433,0.001494303,0.003597119,0.005738126,0.007786382,0.009256485,0.010304015,0.011277658,0.012206733,0.012752838,0.012992630,0.013208616,0.013212226
201806,0.000000000,0.000044991,0.001848357,0.004170715,0.006191615,0.007998285,0.009243370,0.010490217,0.011559069,0.012221494,0.012638352,0.012967578,0.013130379,0.013149411
201807,0.000000000,0.000055815,0.002484286,0.005065662,0.007182537,0.008792094,0.010460807,0.012028780,0.013062509,0.013664548,0.014280221,0.014698024,0.014907579,0.014891707
201808,0.000000000,0.000037858,0.002442451,0.004992343,0.006874643,0.009082366,0.011062577,0.012463182,0.013361627,0.014268844,0.014931242,0.015368388,0.015567703,0.015628410
201809,0.000000000,0.000060300,0.002086187,0.004034617,0.006321979,0.008676707,0.010395242,0.011528604,0.012752403,0.013651941,0.014361110,0.014835006,0.015182163,0.015363660
201810,0.000000000,0.000052945,0.001549924,0.003877445,0.006259819,0.008049904,0.009335680,0.010726125,0.011821759,0.012719345,0.013399698,0.014053876,0.014576588,0.014858473
201811,0.000000000,0.000088660,0.002443460,0.005080758,0.007251749,0.008825461,0.010593657,0.012188829,0.013498388,0.014573830,0.015684987,0.016780131,0.017362905,0.018043998
201812,0.000000000,0.000045990,0.002122341,0.004615639,0.006491345,0.008552772,0.010407071,0.012007598,0.013270044,0.014657405,0.016070407,0.016828817,0.017312285,0.017625892
201901,0.000000000,0.000080460,0.002160863,0.004265433,0.006680186,0.008938721,0.011149524,0.013050400,0.014935330,0.016968821,0.018253211,0.019078456,0.019647411,0.020331058
201902,0.000000000,0.000066939,0.001868246,0.004421070,0.006713609,0.009185811,0.011506423,0.014062660,0.016667549,0.018282654,0.019560888,0.020421112,0.021379110,0.022012258
201903,0.000000000,0.000092570,0.002593539,0.005374630,0.008050114,0.010583801,0.013431865,0.016504742,0.018447272,0.019959418,0.021033655,0.022299106,0.023326544,0.023514409
201904,0.000000000,0.000081830,0.003046409,0.006272403,0.009457610,0.013329289,0.017585225,0.020388550,0.022537851,0.024277511,0.026465519,0.028218292,0.028656759,0.028825376
201905,0.000000000,0.000105357,0.003874638,0.007814873,0.012653662,0.018323932,0.022645853,0.026203445,0.028941157,0.032314689,0.035443974,0.036600816,0.037191716,0.037386606
201906,0.000000000,0.000143161,0.003770119,0.008721808,0.014637347,0.019124140,0.022969607,0.026241714,0.030112019,0.033953268,0.035680082,0.036716160,0.037201314,0.037191467
201907,0.000000000,0.000128660,0.003670901,0.009040709,0.013217232,0.017295729,0.020817180,0.025249084,0.029626695,0.031817554,0.033278539,0.034153186,0.034459126,
201908,0.000000000,0.000128471,0.003378768,0.006945875,0.010621292,0.014359778,0.018991507,0.024340220,0.027294088,0.029397541,0.030927471,0.031726068,,
201909,0.000000000,0.000082332,0.002821909,0.006513355,0.010182403,0.015142398,0.020803937,0.024138306,0.026646008,0.028507078,0.029614750,,,
201910,0.000000000,0.000138627,0.004440878,0.009334128,0.015423654,0.022740118,0.027119419,0.030747381,0.033317204,0.034931057,,,,
201911,0.000000000,0.000152279,0.004306063,0.010352152,0.017934825,0.023107331,0.027258656,0.030632032,0.032781223,,,,,
201912,0.000000000,0.000193571,0.007020782,0.016494559,0.022662624,0.027918039,0.032069314,0.035307340,,,,,,
202001,0.000000000,0.000381971,0.010848111,0.018772600,0.025539462,0.031120142,0.035134948,,,,,,,
202002,0.000000000,0.000407148,0.008233542,0.015847082,0.021909469,0.026489044,,,,,,,,
202003,0.000000000,0.000345254,0.007099403,0.013964642,0.018871206,,,,,,,,,
202004,0.000000000,0.000326305,0.006414806,0.012424343,,,,,,,,,,
202005,0.000000000,0.000223949,0.006041420,,,,,,,,,,,
202006,0.000000000,0.000344174,,,,,,,,,,,,
202007,0.000000000,,,,,,,,,,,,,
